,EMG 1,EMG 2,EMG 3,EMG 4,EMG 5,EMG 6,EMG 7,EMG 8,Eat,Max,Min,Mean,StD,RMS,FFT
1294,20,12,-2,-6,-9,-4,-4,-6,True,20,-9,0.125,10.232127274981902,9.572094859538323,1.0
1295,-12,6,5,-4,3,3,-3,4,True,6,-12,0.25,6.1353775061406886,5.744562646538029,2.0
1296,10,-12,2,6,9,28,1,-13,True,28,-13,3.875,13.08693459687398,12.840366038396258,31.0
1297,-12,-20,0,2,-9,-6,0,-6,True,2,-20,-6.375,7.327784697398564,9.360822613424528,-51.0
1298,-34,-6,17,8,10,-4,3,27,True,27,-34,2.625,18.298614311315646,17.31689926054893,21.0
1299,10,15,-6,-7,-10,-10,-6,-18,True,15,-18,-4.0,10.967484410096706,11.01135777277262,-32.0
1300,-19,-16,4,8,12,1,0,7,True,12,-19,-0.375,11.27497228377968,10.553435459602717,-3.0
1301,-38,-20,10,6,2,4,5,5,True,10,-38,-3.25,16.756661788247513,16.00781059358212,-26.0
1302,16,18,-9,-5,-4,-1,-3,-11,True,18,-11,0.125,10.90789360312718,10.204165815979275,1.0
1303,25,5,0,1,-6,-2,-3,-7,True,25,-7,1.625,10.197163471139552,9.676001240181813,13.0
1304,3,-13,-3,-3,-2,0,-4,-4,True,3,-13,-3.25,4.590362575159894,5.385164807134504,-26.0
1305,18,16,-5,-2,-6,-6,-4,5,True,18,-6,2.0,9.92831448793946,9.5,16.0
1306,-7,-13,2,-2,1,12,5,-1,True,12,-13,-0.375,7.520210863305059,7.044501401802686,-3.0
1307,2,4,3,-8,-16,-3,-1,-2,True,4,-16,-2.625,6.631903411324901,6.73609679265374,-21.0
1308,-10,-14,-11,-8,-9,-2,-7,-20,True,-2,-20,-10.125,5.276294695549682,11.26388032606881,-81.0
1309,18,5,-5,-3,-6,-5,-3,1,True,18,-6,0.25,8.048957341526558,7.533259586659682,2.0
1310,18,15,-5,-6,-8,-4,-3,0,True,18,-8,0.875,9.948976975405202,9.347459547919959,7.0
1311,1,-3,7,4,6,5,-5,-10,True,7,-10,0.625,6.06953752062591,5.7118298293979315,5.0
1312,-11,-5,1,-2,-1,-7,-2,2,True,2,-11,-3.125,4.323936698360485,5.111262075065218,-25.0
1313,-5,-13,-6,-3,9,6,-2,-2,True,9,-13,-2.0,6.8868404532536855,6.745368781616021,-16.0
1314,8,6,-2,1,-5,-8,-2,7,True,8,-8,0.625,5.902481318419036,5.5565276927232174,5.0
1315,-9,0,4,10,8,2,-4,-8,True,10,-9,0.375,7.0089228844380935,6.566962768281849,3.0
1316,8,8,-2,-4,-5,-2,0,-4,True,8,-5,-0.125,5.249149590988185,4.911720676097125,-1.0
1317,-5,-9,-9,-12,-15,-6,-5,-10,True,-5,-15,-8.875,3.5228843701879127,9.467048114380743,-71.0
1507,-56,-28,1,2,1,2,0,1,True,2,-56,-9.625,21.347047303349203,22.16697994766089,-77.0
1508,34,22,-8,-6,-3,-5,-3,1,True,34,-8,4.0,15.380878667079736,14.933184523068078,32.0
1509,24,-10,-1,1,15,4,0,-3,True,24,-10,3.75,10.793516572461451,10.770329614269007,30.0
1510,0,14,4,5,4,3,0,0,True,14,0,3.75,4.621378891320518,5.722761571129799,30.0
1511,8,15,1,-2,-7,-4,-3,-2,True,15,-7,0.75,7.245688373094719,6.819090848492928,6.0
1512,-12,-10,-3,-2,-2,-1,1,-2,True,1,-12,-3.875,4.580626906564522,5.777110004145672,-31.0
1513,-12,16,18,3,-1,-2,-3,-4,True,18,-12,1.875,10.24607938955886,9.766012492312305,15.0
1514,-6,0,9,0,-3,0,-2,-20,True,9,-20,-2.75,8.18971480403491,8.139410298049853,-22.0
1515,-21,5,-4,-2,-4,-2,-2,-6,True,5,-21,-4.5,7.406560798180411,8.261355820929152,-36.0
1516,-10,-4,-9,-3,-1,0,1,12,True,12,-10,-1.75,6.840008354213778,6.6332495807108,-14.0
1517,6,1,9,3,3,5,-1,-2,True,9,-2,3.0,3.664501525251617,4.55521678957215,24.0
1518,-7,-4,-2,0,-1,1,0,5,True,5,-7,-1.0,3.5456210417116734,3.4641016151377544,-8.0
1519,8,1,-11,-4,-6,-5,-1,6,True,8,-11,-1.5,6.347102826149446,6.123724356957945,-12.0
1520,-4,-6,0,1,2,-1,0,1,True,2,-6,-0.875,2.748376143938713,2.715695122800054,-7.0
1521,47,-10,-9,-2,-3,-1,0,2,True,47,-10,3.0,18.26784841502375,17.349351572897472,24.0
1522,11,2,-2,-3,-2,5,3,-2,True,11,-3,1.5,4.810702354423639,4.743416490252569,12.0
1523,-12,-3,-1,-4,8,-1,-2,0,True,8,-12,-1.875,5.488624600025037,5.465802777268862,-15.0
1524,22,3,0,-3,-1,-7,-22,9,True,22,-22,0.125,12.631451675423985,11.816302298096474,1.0
1525,9,-5,-9,-3,-1,1,0,3,True,9,-9,-0.625,5.3967582862307255,5.086747487343951,-5.0
1526,-23,-10,-5,0,-1,1,6,-2,True,6,-23,-4.25,8.876131718587455,9.327379053088816,-34.0
1527,8,-3,-2,-3,-4,-4,-2,-6,True,8,-6,-2.0,4.242640687119285,4.444097208657794,-16.0
1528,-4,-9,-4,-2,0,1,2,-1,True,2,-9,-2.125,3.5228843701879127,3.9210967853395307,-17.0
1529,7,10,10,7,2,-1,1,0,True,10,-1,4.5,4.503966505838413,6.164414002968976,36.0
1530,2,6,3,-1,13,1,2,1,True,13,-1,3.375,4.373213921133975,5.303300858899107,27.0
1531,-18,-23,-3,-1,-4,1,-6,-14,True,1,-23,-8.5,8.734169352933012,11.789826122551595,-68.0
1532,-5,1,-4,-4,-9,-2,7,-8,True,7,-9,-3.0,5.1269595556932455,5.656854249492381,-24.0
1533,10,8,0,-3,-18,9,8,3,True,10,-18,2.125,9.372261504796253,9.020809276334358,17.0
1534,22,8,-1,0,7,-20,-3,-2,True,22,-20,1.375,11.92760902875581,11.241663577958558,11.0
1535,-12,2,-1,-4,11,5,13,0,True,13,-12,1.75,8.066686343935071,7.745966692414834,14.0
1536,-5,-2,0,-1,-16,2,0,-4,True,2,-16,-3.25,5.625198409199194,6.18465843842649,-26.0
1537,-14,-6,-4,-2,-5,-2,-6,1,True,1,-14,-4.75,4.432026302139591,6.304760106459246,-38.0
1538,12,-8,-3,-3,1,-2,-3,-2,True,12,-8,-1.0,5.80640040940045,5.522680508593631,-8.0
1539,8,0,1,3,-2,-7,-3,-1,True,8,-7,-0.125,4.421942042651783,4.138236339311712,-1.0
1540,-13,-3,-2,1,-5,0,-4,-12,True,1,-13,-4.75,5.175491695067657,6.782329983125268,-38.0
1541,-57,-22,-6,-1,4,-5,-5,-6,True,4,-57,-12.25,19.535681640087635,22.0,-98.0
1542,-1,6,1,0,-3,3,-1,2,True,6,-3,0.875,2.7998724460742337,2.7613402542968153,7.0
1543,-5,9,0,-1,1,-3,-3,-10,True,9,-10,-1.5,5.451081150953975,5.315072906367325,-12.0
1544,-6,11,13,2,-3,1,2,-2,True,13,-6,2.25,6.627863262664025,6.59545297913646,18.0
1545,17,-20,0,2,-6,-4,-3,2,True,17,-20,-1.5,10.281745265969475,9.733961166965893,-12.0
1546,-14,-14,-7,-1,-1,4,5,31,True,31,-14,0.375,14.362028308802943,13.439680055715613,3.0
1547,-20,4,3,4,-1,-1,1,-1,True,4,-20,-1.375,7.836498853806736,7.458216945088149,-11.0
1548,-10,-43,-13,-4,2,-2,-2,-7,True,2,-43,-9.875,14.217067208112931,16.564268773477444,-79.0
1549,-3,3,-9,-5,-3,-2,-2,-2,True,3,-9,-2.875,3.3567628964311944,4.257346591481601,-23.0
1550,-7,11,11,6,6,1,-4,-7,True,11,-7,2.125,7.4916620318858484,7.322909257938405,17.0
1551,19,16,3,3,5,0,-1,-7,True,19,-7,4.75,8.6972902183874,9.420721840708387,38.0
1552,34,23,-7,-6,-4,0,-3,-14,True,34,-14,2.875,16.582585529920923,15.7757725642835,23.0
1553,2,-10,-6,-2,0,-1,-1,9,True,9,-10,-1.125,5.566160513059505,5.326818938165629,-9.0
1554,-11,-8,-1,-2,-2,-2,0,0,True,0,-11,-3.25,4.026696625558686,4.9749371855331,-26.0
1555,11,10,-1,-2,-1,6,2,7,True,11,-2,4.0,5.18238775634773,6.284902544988268,32.0
1556,-3,5,0,2,-3,0,-1,-3,True,5,-3,-0.375,2.8252686345094435,2.669269563007828,-3.0
1557,0,7,4,0,-5,-4,-3,2,True,7,-5,0.125,4.120939559996343,3.856812155135378,1.0
1558,2,11,2,1,0,-5,-1,7,True,11,-5,2.125,4.911720676097125,5.062114182829147,17.0
1559,33,7,2,-1,-2,-2,-2,1,True,33,-2,4.5,11.916375287812984,12.020815280171307,36.0
1560,14,-2,-8,-5,-1,-3,-2,-4,True,14,-8,-1.375,6.588680769753099,6.314665470157545,-11.0
1561,22,20,12,3,3,-1,2,7,True,22,-1,8.5,8.635475005547093,11.726039399558575,68.0
1562,13,-11,14,3,2,3,3,12,True,14,-11,4.875,8.201698430377524,9.089829481348922,39.0
1563,6,6,-3,1,0,2,1,0,True,6,-3,1.625,3.0676887530703443,3.29772648956823,13.0
1564,-5,-2,-3,1,-4,-1,0,0,True,1,-5,-1.75,2.1213203435596424,2.6457513110645907,-14.0
1565,-16,0,3,-4,-5,-4,-4,-8,True,3,-16,-4.75,5.625198409199194,7.088723439378913,-38.0
1566,-27,-14,-5,-1,13,5,3,2,True,13,-27,-3.0,12.45563555756418,12.031209415515965,-24.0
1567,-18,-10,-8,-5,-9,-5,0,0,True,0,-18,-6.875,5.866064633612068,8.796306042879591,-55.0
1568,5,6,0,-3,-8,-4,-2,-3,True,6,-8,-1.125,4.6732521560777895,4.513867521316947,-9.0
1569,10,0,3,3,8,3,-1,-10,True,10,-10,2.0,6.09449400220044,6.041522986797286,16.0
1570,-21,5,-4,0,-2,-2,0,-1,True,5,-21,-3.125,7.679983258910325,7.834219807996199,-25.0
1571,-13,-10,-5,-2,8,0,1,3,True,8,-13,-2.25,6.881652625434014,6.819090848492928,-18.0
1572,-6,1,0,0,-2,0,-4,-10,True,1,-10,-2.625,3.814914340921881,4.430011286667337,-21.0
1573,-1,2,-2,-2,0,2,0,1,True,2,-2,0.0,1.6035674514745462,1.5,0.0
1780,19,7,2,0,-6,-5,0,5,True,19,-6,2.75,7.923743703939085,7.905694150420948,22.0
1781,4,-1,-6,-1,-1,-8,-5,4,True,4,-8,-1.75,4.399675312695569,4.47213595499958,-14.0
1782,-14,-22,-2,-2,-5,7,-1,10,True,10,-22,-3.625,10.40518414747462,10.386289038920495,-29.0
1783,-10,-12,-15,-9,8,20,-9,-40,True,20,-40,-8.375,17.45964735366341,18.354154842977653,-67.0
